Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,Liberation Diploma Plus High School,21K728,Seagate-Coney Island,"D, F, N, Q to Coney Island  –  S llwell Avenue","B36, B64, B68, B74, B82, X28, X38"
,Life Academy High School for Film and Music,21K559,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend  –  86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,Life Sciences Secondary School,02M655,Yorkville,6 to 96th St,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M15, M15-SBS, M31, M86-SBS, M96, M98"
,Long Island City High School,30Q450,Astoria,"N, Q to Broadway","Q100, Q102, Q103, Q104, Q18, Q19, Q66, Q69"
,Lower Manhattan Arts Academy,02M308,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9"
,Lyons Community School,14K586,East Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M to Lorimer St; L to Grand St","B24, B43, B46, B48, B60, Q54, Q59"
,M.S. 223 The Laboratory School of Finance and Technology,07X223,Mott Haven-Port Morris,"2, 5 to 3rd Ave-149th St ; 4 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St","Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A"
,Manhattan / Hunter Science High School,03M541,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,Manhattan Academy for Arts & Language,02M427,Murray Hill-Kips Bay,"4, 5, 7, S to Grand Central - 42nd St ; 6 to 33rd St ; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Manhattan Bridges High School,02M542,Clinton,"C, E to 50th St","M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42"
