Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,School for Excellence,09X404,BX,X46A - School for Excellence,Limited Unscreened,9/10,Humanities & Interdisciplinary,3,N,3,N,78% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Community School for Social Justice,07X427,BX,X47A - Social Action,Limited Unscreened,9/10,Law & Government,5,N,6,N,4% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,High School for Contemporary Arts,11X544,BX,X48A - Arts Lab Studio Creative Writing & Performing Arts,Limited Unscreened,9/10,Performing Arts,7,N,8,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,High School for Contemporary Arts,11X544,BX,"X48B - Arts Lab-Studio II Visual, Audio & Media Arts",Limited Unscreened,9/10,Visual Art & Design,7,N,9,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,New Explorers High School,07X547,BX,X49B - Dance,Ed. Opt.,9,Performing Arts,5,N,4,N,N/A: Open to New York City residents,,,,,,,,
,New Explorers High School,07X547,BX,X49C - Music,Ed. Opt.,9/10,Performing Arts,6,N,6,Y,N/A: Open to New York City residents,,,,,,,,
,New Explorers High School,07X547,BX,X49D - Visual Art,Ed. Opt.,9,Performing Arts/Visual Art & Design,8,Y,11,Y,N/A: Open to New York City residents,,,,,,,,
,New Explorers High School,07X547,BX,X49E - Drama,Ed. Opt.,9,Performing Arts,4,N,4,N,N/A: Open to New York City residents,,,,,,,,
,Fordham High School for the Arts,10X437,BX,X51A - Fordham High School for the Arts,Audition: pre-registration,9/10,Performing Arts,7,Y,6,N,100% of offers went to Bronx students or residents,,,,,1.8,1.8,,Yes
,Fordham Leadership Academy for Business and Technology,10X438,BX,X52A - College Preparatory and Leadership,Ed. Opt.,9/10,Humanities & Interdisciplinary,6,N,7,N,97% of offers went to Bronx students or residents,,,,,,,,
,Bronx High School for Law and Community Service,10X439,BX,X53A - Law Enforcement Academy,Limited Unscreened,9,Law & Government,17,Y,17,Y,64% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx High School for Law and Community Service,10X439,BX,X53B - Community Service Academy,Ed. Opt.,9,Humanities & Interdisciplinary,7,Y,11,Y,100% of offers went to Bronx students or residents,,,,,,,Yes,
,Bronx High School of Business,09X412,BX,X55A - Bronx High School of Business,Limited Unscreened,9/10,Business,3,N,4,N,5% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Bronx High School of Business,09X412,BX,X55B - Bilingual Education,Screened: Language,9,Business,2,N,1,N,N/A: Open to New York City residents,,,,,,,,
,Bronx High School for Medical Science,09X413,BX,X56A - Medical and Health Sciences,Screened,9/10,Health Professions,20,Y,11,Y,32% of offers went to continuing 8th graders,72,72,70,75,1.9,1.9,,Yes
,Schuylerville Preparatory High School,08X348,BX,X57A - Schuylerville Preparatory High School,Limited Unscreened,9,Humanities & Interdisciplinary,4,N,4,N,68% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Collegiate Academy,09X227,BX,X58X - Bronx Collegiate Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,6,N,7,Y,48% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,West Bronx Academy for the Future,10X243,BX,X59X - West Bronx Academy for the Future,Limited Unscreened,9,Humanities & Interdisciplinary,6,Y,8,Y,56% of offers went to continuing 8th graders,,,,,,,Yes,
,Bronx Engineering and Technology Academy,10X213,BX,X61X - Bronx Engineering & Technology Academy (BETA),Limited Unscreened,9,Engineering,7,Y,8,Y,35% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,"The Marie Curie School for Medicine, Nursing, and Health Professions",10X237,BX,"X62X - Marie Curie High School for Nursing, Medicine, & Allied Health Professions",Limited Unscreened,9,Health Professions,6,Y,4,N,37% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Frederick Douglass Academy III Secondary School,09X517,BX,X63X - Frederick Douglass Academy III Secondary School,Limited Unscreened,9,Humanities & Interdisciplinary,7,N,7,Y,59% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Lab School,11X265,BX,X64X - Bronx Lab School,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,N,5,N,5% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",08X519,BX,X65A - W.E.B. Du Bois Writing Institute,Limited Unscreened,9/10,Humanities & Interdisciplinary,2,N,2,N,100% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",08X519,BX,X65R - The Felisa Rincón de Gautier Institute for Law and Public Policy,Limited Unscreened,9/10,Law & Government,1,N,1,N,100% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Alfred E. Smith Career and Technical Education High School,07X600,BX,X69C - NATEF Automotive Technology,Ed. Opt.,9,Engineering,5,Y,9,Y,N/A: Open to New York City residents,,,,,,,Yes,
,Alfred E. Smith Career and Technical Education High School,07X600,BX,X69D - Bilingual Spanish NATEF Automotive Technology,Screened: Language,9,Engineering,6,N,5,N,100% of offers went Open to students whose home language is Spanish,,,,,,,,
,Alfred E. Smith Career and Technical Education High School,07X600,BX,X69E - Graphic Arts,Screened,9,Visual Art & Design,10,N,15,Y,N/A: Open to New York City residents,65,61,N/A,63,1.8,1.8,Yes,Yes
,Health Opportunities High School,07X670,BX,X71A - Health Opportunities High School,Ed. Opt.,9/10,Health Professions,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,Millennium Art Academy,08X312,BX,X72A - Millennium Art Academy,Ed. Opt.,9/10,Visual Art & Design,5,Y,8,Y,12% of offers went to Bronx students or residents,,,,,,,,
,Bronx Leadership Academy High School,09X525,BX,X73A - Bronx Leadership Academy,Ed. Opt.,9/10,Law & Government,6,N,7,Y,99% of offers went to Bronx students or residents,,,,,,,Yes,
,Monroe Academy for Visual Arts & Design,12X692,BX,X75A - Monroe Academy of Visual Design,Ed. Opt.,9/10,Visual Art & Design,4,N,4,N,99% of offers went to Bronx students or residents,,,,,,,,
,Bronx High School for Writing and Communication Arts,11X253,BX,X76X - Bronx High School for Writing & Communication Arts,Limited Unscreened,9,Communications,4,N,4,N,74% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,"Metropolitan High School, The",12X248,BX,X77R - The Metropolitan High School,Limited Unscreened,9,Humanities & Interdisciplinary,6,Y,5,Y,41% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,In-Tech Academy (M.S. / High School 368),10X368,BX,X78A - Information and Network Technology Academy,Screened,9,Computer Science & Technology,8,Y,5,N,76% of offers went to continuing 8th graders,70,70,71,75,1.9,1.9,,Yes
,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10X141,BX,X80A - RKA Humanities,Screened,9,Humanities & Interdisciplinary,8,Y,4,N,94% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Morris Academy for Collaborative Studies,09X297,BX,X81X - Morris Academy for Collaborative Studies,Limited Unscreened,9,Humanities & Interdisciplinary,3,N,3,N,42% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,East Bronx Academy for the Future,12X271,BX,X83X - East Bronx Academy for the Future,Limited Unscreened,9,Humanities & Interdisciplinary,15,Y,19,Y,45% of offers went to continuing 8th graders,,,,,,,Yes,
,The Bronxwood Preparatory Academy,11X514,BX,X85R - The Bronxwood Preparatory Academy,Limited Unscreened,9,Humanities & Interdisciplinary,5,N,5,N,26% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Kingsbridge International High School,10X268,BX,X86R - Kingsbridge International High School,Screened: Language,9,Humanities & Interdisciplinary,4,N,2,N,100% of offers went to New York City residents who have lived in the United States four years or fewer at the time of admission to high school and whose home language is not English,,,,,,,,
,New World High School,11X513,BX,X87R - New World High School,Screened: Language,9,Humanities & Interdisciplinary,7,N,4,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Bronx Health Sciences High School,11X249,BX,X88X - Bronx Health Sciences High School,Limited Unscreened,9,Health Professions,14,Y,8,Y,58% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,World View High School,10X353,BX,X89A - World View High School,Limited Unscreened,9/10,Science & Math,8,Y,5,N,89% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,World View High School,10X353,BX,X89B - Spanish Transitional Bilingual,Screened: Language,9,Science & Math,4,N,2,N,N/A: Open to New York City residents,,,,,,,,
,Fannie Lou Hamer Freedom High School,12X682,BX,X91A - Fannie Lou Hamer Freedom High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,6,N,32% of offers went to Fannie Lou Hamer Middle School students who attend an information session,,,,,,,Yes,
,Wings Academy,12X684,BX,X93A - Academy For Excellence,Ed. Opt.,9,Humanities & Interdisciplinary,6,Y,7,Y,90% of offers went to Bronx students or residents,,,,,,,,Yes
,Banana Kelly High School,08X530,BX,X94A - Banana Kelly High School,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,N,4,N,100% of offers went to Bronx students or residents,,,,,,,,
,"Bronx School for Law, Government and Justice",09X505,BX,"X95A - Bronx School for Law, Government and Justice for New Students",Ed. Opt.,9/10,Law & Government,16,Y,13,Y,96% of offers went to Bronx students or residents,,,,,,,Yes,Yes
,"Bronx School for Law, Government and Justice",09X505,BX,"X95B - Bronx School for Law, Government and Justice for Current Students",For Continuing 8th Graders,9,Law & Government,N/A,N/A,N/A,N/A,100% of offers went to continuing 8th graders,,,,,,,,
,University Heights Secondary School,07X495,BX,X96A - Humanities,Screened,9/10,Humanities & Interdisciplinary,20,Y,9,Y,N/A: Open to New York City residents,65,65,64,65,2.0,1.9,,Yes
,University Heights Secondary School,07X495,BX,"X96B - STEM (Science, Technology, Engineering and Mathematics)",Screened,9,Science & Math,20,Y,6,Y,N/A: Open to New York City residents,75,75,78,77,2.1,2.2,,Yes
,Pablo Neruda Academy,08X305,BX,X97A - Pablo Neruda Academy,Limited Unscreened,9/10,Architecture,2,N,4,N,88% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Renaissance High School for Musical Theater & Technology,08X293,BX,X98A - Renaissance High School of Musical Theater & Technology,Limited Unscreened,9/10,Performing Arts,8,Y,7,Y,44% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Eagle Academy for Young Men,09X231,BX,X99X - The Eagle Academy for Young Men,Limited Unscreened,9/10,Humanities & Interdisciplinary,14,Y,19,Y,80% of offers went to continuing 8th graders,,,,,,,Yes,
,Women's Academy of Excellence,08X282,BX,Y01T - Women’s Academy of Excellence,Limited Unscreened,9,Science & Math,4,N,2,N,89% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,DreamYard Preparatory School,09X329,BX,Y21A - DreamYard Preparatory School,Limited Unscreened,9/10,Performing Arts,3,N,3,N,70% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Holcombe L. Rucker School of Community Research,08X332,BX,Y22A - Holcombe L. Rucker School of Community Research,Limited Unscreened,9/10,Humanities & Interdisciplinary,1,N,3,N,55% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,International Community High School,07X334,BX,Y23A - International Community High School,Screened: Language,9/10,Humanities & Interdisciplinary,4,N,2,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,International School for Liberal Arts,10X342,BX,Y24A - International School for Liberal Arts,Screened: Language,9,Humanities & Interdisciplinary,5,N,2,N,83% of offers went to continuing 8th graders,,,,,,,,
,Pan American International High School at Monroe,12X388,BX,Y26A - Pan American International High School at Monroe,Screened: Language,9,Humanities & Interdisciplinary,3,N,1,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Comprehensive Model School Project M.S. 327,09X327,BX,Y27A - Comprehensive Model School Project (CMSP),Limited Unscreened,9,Science & Math,6,Y,5,Y,82% of offers went to continuing 8th graders,,,,,,,Yes,
,Bronx Studio School for Writers and Artists,08X269,BX,Y28A - The Urban Assembly Bronx Studio School for Writers and Artists,Limited Unscreened,9,Humanities & Interdisciplinary,7,Y,7,Y,49% of offers went to continuing 8th graders,,,,,,,Yes,
,"Urban Assembly School for Applied Math and Science, The",09X241,BX,Y29A - The Urban Assembly School for Applied Math and Science,Limited Unscreened,9,Science & Math,14,Y,10,Y,79% of offers went to continuing 8th graders,,,,,,,Yes,
,Academy for Language and Technology,09X365,BX,Y31B - National Academy Foundation Media Communications,Screened: Language,9,Communications,19,Y,9,N,"100% of offers went to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",,,,,,,,
,Academy for Language and Technology,09X365,BX,Y31C - National Academy Foundation Institute for Computer Technology,Screened: Language,9,Computer Science & Technology,24,Y,12,N,"100% of offers went to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",,,,,,,,
,Academy for Language and Technology,09X365,BX,Y31D - National Academy Foundation Computer Networking,Screened: Language,9,Computer Science & Technology,11,Y,6,N,"100% of offers went to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",,,,,,,,
,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374,BX,Y32A - Knowledge and Power Preparatory Academy International High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,14,Y,11,Y,92% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374,BX,Y32B - Doctors of Tomorrow,Limited Unscreened,9,Science & Math,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,BX,Y34A - Antonia Pantoja Preparatory Academy: A College Board School,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,4,N,27% of offers went to continuing 8th graders,,,,,,,Yes,
,Bronx Latin,12X267,BX,Y35A - Bronx Latin,Limited Unscreened,9,Humanities & Interdisciplinary,21,Y,17,Y,56% of offers went to continuing 8th graders,,,,,,,Yes,
,Bronx Early College Academy for Teaching & Learning,09X324,BX,Y36A - Bronx Early College Academy,Screened,9/10,Humanities & Interdisciplinary,14,N,9,Y,24% of offers went to continuing 8th graders,75,75,70,74,2.0,2.2,Yes,Yes
,"Archimedes Academy for Math, Science and Technology Applications",08X367,BX,"Y37A - Archimedes Academy for Math, Science and Technology",Limited Unscreened,9,Science & Math,5,N,5,Y,24% of offers went to continuing 8th graders,,,,,,,Yes,
,Urban Assembly School for Wildlife Conservation,12X372,BX,Y38A - Urban Assembly School for Wildlife Conservation,Limited Unscreened,9,Science & Math,5,Y,5,Y,18% of offers went to continuing 8th graders,,,,,,,Yes,
,Eagle Academy for Young Men of Harlem,05M148,M,Y41A - Eagle Academy for Young Men of Harlem,Limited Unscreened,9,Humanities & Interdisciplinary,4,Y,8,Y,54% of offers went to continuing 8th graders,,,,,,,Yes,
,The Cinema School,12X478,BX,Y42A - The Cinema School,Screened,9/10,Film/Video,15,Y,12,Y,N/A: Open to New York City residents,74,68,71,73,1.9,1.9,,Yes
,Bronx Career and College Preparatory High School,12X479,BX,Y43A - Bronx Career and College Preparatory High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,N,5,N,56% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Mott Hall V,12X242,BX,Y45A - Mott Hall V High School,Limited Unscreened,9,Science & Math,19,Y,17,Y,91% of offers went to continuing 8th graders,,,,,,,Yes,
,Stuyvesant High School,02M475,M,NO CODE - Stuyvesant,Test,9/10,Science & Math,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Bronx Bridges High School,08X432,BX,Y47A - Bronx Bridges High School,Screened: Language,9,Humanities & Interdisciplinary,5,N,4,N,100% of offers went to Bronx students or residents,,,,,,,,
,Bronx Leadership Academy II High School,07X527,BX,Y49A - Bronx Leadership Academy II High School,Limited Unscreened,9/10,Science & Math,9,Y,8,Y,24% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Design and Construction Academy,07X522,BX,Y51A - Building Construction and Technology,Ed. Opt.,9,Engineering,4,N,8,Y,44% of offers went to Bronx students or residents,,,,,,,,Yes
,Bronx Design and Construction Academy,07X522,BX,Y51B - Architecture and Design,Ed. Opt.,9,Architecture,13,Y,23,Y,100% of offers went to Bronx students or residents,,,,,,,,
,High School of Language and Innovation,11X509,BX,Y52A - High School of Language and Innovation,Screened: Language,9/10,Humanities & Interdisciplinary,4,N,2,N,99% of offers went to Bronx students or residents,,,,,,,,
,Bronxdale High School,11X508,BX,Y53A - Bronxdale High School,Limited Unscreened,9,Humanities & Interdisciplinary,11,Y,9,Y,74% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Envision Academy,12X511,BX,Y54A - Bronx Envision,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,5,N,49% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,The Metropolitan Soundview High School,12X521,BX,Y55A - The Metropolitan Soundview High School,Limited Unscreened,9,Humanities & Interdisciplinary,4,N,3,N,17% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Crotona International High School,10X524,BX,Y56A - Digital Media/Recording Entertainment Technology,Screened: Language,9,Humanities & Interdisciplinary,4,N,3,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Westchester Square Academy,08X558,BX,Y58A - Westchester Square Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,9,Y,9,Y,29% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Westchester Square Academy,08X558,BX,Y58B - Westchester Square Academy Honors Program,Screened,9/10,Humanities & Interdisciplinary,5,Y,2,N,100% of offers went to Bronx students or residents,73,69,70,75,1.9,1.9,,Yes
,School for Tourism and Hospitality,08X559,BX,Y59A - School for Tourism and Hospitality,Limited Unscreened,9,"Hospitality, Travel and Tourism",2,N,3,N,51% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Bronx Compass High School,08X561,BX,Y61A - The Bronx Compass High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,5,Y,7,Y,26% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,Claremont International HS,09X564,BX,Y64A - Claremont International High School,Screened: Language,9,Humanities & Interdisciplinary,5,N,3,N,100% of offers went to New York City residents living in the United States four years or fewer who are English Language Learners,,,,,,,,
,High School for Energy and Technology,10X565,BX,Y65A - Building Operations and Technology,Limited Unscreened,9,Engineering,6,N,7,N,43% of offers went to Bronx students or residents who attend an information session,,,,,,,Yes,
,M.S. 223 The Laboratory School of Finance and Technology,07X223,BX,Y72A - Dual Language Spanish Program,Screened: Language,9,Computer Science & Technology,9,Y,7,Y,100% of offers went to continuing 8th graders,,,,,,,,
,M.S. 223 The Laboratory School of Finance and Technology,07X223,BX,Y72B - The Laboratory School of Finance and Technology,Limited Unscreened,9,Computer Science & Technology,12,Y,15,Y,61% of offers went to continuing 8th graders,,,,,,,Yes,
,Young Women's Leadership School of the Bronx (TYWLS),09X568,BX,"Y73A - Young Womens Leadership School, Bronx",Screened,9/10,Science & Math,5,Y,4,N,68% of offers went to continuing 8th graders,65,65,65,65,1.9,1.6,,Yes
